"username","content","date","likes_number","post_url"
"g1rlboss98","When are set times being announced pls?",2023-02-27,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"un_aufgeregt","I have 2 tickets for sale for the closing concert/festival rainbow republic. Unfortunately we can't make it. Send me a dm!",2023-02-26,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"tashibellabeth","Are there any more free tickets??",2023-03-05,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"sydneyworldpride","@tashgering tickets are still on sale through our website",2023-03-05,"0","https://www.instagram.com/p/Co3ucCkgl9J/"
"sydney","We can't wait! D_td",2023-02-20,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"mr_good_fella_7","Can we request just a closing ceremony to save the torment of celebrating mediocrity and instead focus on real-world issues - thank you.",2023-02-24,"8","https://www.instagram.com/p/Co3ucCkgl9J/"
"hprivt._","L",2023-02-24,"2","https://www.instagram.com/p/Co3ucCkgl9J/"
"jelabrwn","Where can I see the set times? @sydneyworldpride",2023-03-05,"0","https://www.instagram.com/p/Co3ucCkgl9J/"
"this_virginia","Anyone looking for 2 Tix to Domain dance party today $159 each.",2023-02-26,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"daniel_j_puchert558","urgently selling my 4 tickets at cheap prices due to my busy and tight schedule at work, message me if you are interested in buying these ðŸ™ðŸ™",2023-03-04,"1","https://www.instagram.com/p/Co3ucCkgl9J/"
"carlosmatt82","We need more asian representation in ur post! Australia is multi culture country.... stop being racist and laid back! And grow better!!! Do better ozy",2023-03-04,"6","https://www.instagram.com/p/Co3ucCkgl9J/"
"optus","The film will premiere at Bus Stop Film's 2022 Showcase before being entered into festivals around the world. Grab your tickets to the Sydney, Melbourne, Adelaide, Brisbane and Canberra showcase at https://events.humanitix.com/tours/bus-stop-films-showcase-2022",2022-12-05,"1","https://www.instagram.com/p/ClxehXnriU4/"
"whatability","So excited to have you on board - Happiness Comes First F_yellowheartðŸ§¡F_redheartðŸ’šF_blueheart",2022-12-05,"1","https://www.instagram.com/p/ClkqiN8PErH/"
"ben.ability","I guess its easier work than winning an opening but Optis- really?",2022-08-23,"0","https://www.instagram.com/p/ChJoWS7OCZ6/"
"big_boy_tom_barrass","why is the internet not working in christies beach SA",2022-08-13,"1","https://www.instagram.com/p/ChJoWS7OCZ6/"
"yabbitbyupti","Congrats Mack D_clapD_clap",2022-09-06,"0","https://www.instagram.com/p/ChI7ML9uidO/"
"ren_kimber","What an amazing ambassador for swimming and Australia ðŸ‡¦ðŸ‡º congratulations @mackhorton and @optus ðŸ…",2022-08-12,"0","https://www.instagram.com/p/ChI7ML9uidO/"
"alexbonezyboy","Mad respect for backing danny ric no matter what ðŸ‘Š",2022-08-08,"0","https://www.instagram.com/p/Cgvh0aTNIJk/"
"prncezluisa100","Optus you are a fail. A company not to be trusted.  stealing from innocent people. You should be ashamed of yourselves.",2022-08-01,"13","https://www.instagram.com/p/CgnSSu3Ns6p/"
"woolsfold","@optus STOP ALLOWING FRAUDSTERS TO RUIN INNOCENT PEOPLE'S LIVES. ILL STICK WITH TELSTRA TJ",2022-08-04,"2","https://www.instagram.com/p/CgdF9i-sv0l/"
"isobel_larkin","Hi @optus could someone please message me back urgently? I'm overseas and trying to switch on international roaming and it's saying it's unavailable... Can't contact you through the app as that's also saying unavailable and the number on your website to call from overseas has been disconnected.",2022-07-28,"0","https://www.instagram.com/p/CgdF9i-sv0l/"
"optus","@isobel_larkin Hi Isobel, I've responded to your private message via Facebook. Let's continue our conversation there to avoid any confusion or double handling. Sarah",2022-07-28,"0","https://www.instagram.com/p/CgdF9i-sv0l/"
"and_drew85","Sort your shit internet service out. The worse connection ever. Definitely disconnecting your shit.",2022-07-28,"6","https://www.instagram.com/p/CgdF9i-sv0l/"
"lukewarmmess_","Sorry to message here, but I don't live in Australia so I cannot download the app to message customer service. Someone is trying to use my email address to make an account and it isn't me. Please help @optus",2022-07-25,"1","https://www.instagram.com/p/CfvICzII6MM/"
"lukewarmmess_","@lukewarmmess_ I sent a DM, just sending a comment message just incase. Please and thank you â˜ºï¸",2022-07-25,"0","https://www.instagram.com/p/CfvICzII6MM/"
"lukewarmmess_","@lukewarmmess_ @optus ???",2022-07-29,"1","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@lukewarmmess_ Thanks for reaching out. We haven't received your Direct Message could you please send us a Direct Message with screenshots regarding your email address being used? We will be able to assist your further with this. Thanks,  Robyn",2022-07-29,"0","https://www.instagram.com/p/CfvICzII6MM/"
"lukewarmmess_","@optus thanks! Sent Monday at 9:23pm. Have just sent another message.",2022-07-29,"1","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@lukewarmmess_ Thanks for reaching back out. Appears as though there is an issue receiving your Private Message. Could you please reach out via Facebook Private Message â†’ https://bit.ly/2JEZtk1 or Twitter Direct Message â†’ https://bit.ly/3vlAESU where we can assist further with this one? â€“ Dillon",2022-07-29,"0","https://www.instagram.com/p/CfvICzII6MM/"
"michaeldm19","Worst Provider / Worst Network. I've had no phone access all day. Zero. 15 hours. I've spoken to 5 agents online (as I can't call them as I have no phone access and I've also been locked out of my account). I've been a customer for 10 years. No one can apparently tell me why I have no phone access. An hour or two ok. 15 hours! TIO here I come.",2022-07-23,"0","https://www.instagram.com/p/CfvICzII6MM/"
"filisefamily","Why has my phone reception been so bad this week ? My hubby's and friends too ???",2022-07-23,"1","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@filisefamily Hey there, have you had the chance to check our Network Status page : https://www.optus.com.au/about/network/service-status to see if there was any maintenance or outages in your area? Our team on Facebook and Twitter will be able to assist via a private message - Steven",2022-07-23,"0","https://www.instagram.com/p/CfvICzII6MM/"
"itsdavinam","@optus I've sent you a message regarding your pathetic customer service and the near miss my business experienced being ruined by this company ðŸ¤¬",2022-07-22,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@itsdavinam Hi there, we're sorry to hear about your experience. If you need further assistance and haven't already, please send us a private message over Facebook or Twitter and we'll be happy to assist there. Sarah",2022-07-22,"0","https://www.instagram.com/p/CfvICzII6MM/"
"itsdavinam","@optus hi Sarah, I've done this, thank you.",2022-07-22,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@itsdavinam Thanks, we'll reply to your message and provide further assistance. Sarah",2022-07-22,"1","https://www.instagram.com/p/CfvICzII6MM/"
"haralambos58","You guys need to up your game, service sux! In Singapore home of your parent company and roaming doesn't work, did in Bali yesterday and I don't appreciate the sarcasm from your online assistant YOU SUCK",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@haralambos58 Really sorry to hear about your experience so far and roaming issue. We can definitely look into this for you. Kartik",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@haralambos58 Please send a private message to Optus on Facebook â†’ http://yesopt.us/private or a direct message on Twitter â†’ https://twitter.com/optus with the details so that we can assist you further. Kartik",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"haralambos58","@optus can I do it on messenger?",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@haralambos58 Yes definitely, you should be able to send us a private message by clicking on 'Send Message' which is available on the right hand side of our Facebook page. From there, click on 'Get Started' to begin conversing with us. Kartik",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"haralambos58","@optus no reply on Messenger of course, you guys are shit what can I say, I should wait again? I waited hours last nite for some person to be sarcastic on their comments?",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"haralambos58","@haralambos58 well look at Facebook Messenger?",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@haralambos58 Sure, we have received it and will reply to you shortly. Kartik",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@haralambos58 Appreciate where you are coming from, since we are not a Live service we can take time responding. That being said, we endeavour to respond to all our customers as quickly as possible and please be rest assured, we will certainly get back to you as soon as we can. Kartik",2022-07-20,"0","https://www.instagram.com/p/CfvICzII6MM/"
"traumii","Where tf did my service go you absolute putrid network.",2022-07-17,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@traumii Hi there, our teams are investigating an issue impacting some services in Victoria.Customers may experience disruptions to their call, text and data services during this time. We apologise for any inconvenience caused and are working to resolve this as soon as possible -Gabby",2022-07-17,"0","https://www.instagram.com/p/CfvICzII6MM/"
"ahosikian","Where's my bloody signal gone",2022-07-17,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@ahosikian Hi there - Apologies for any inconvenience this may have caused. We're aware that customers are facing troubles accessing their service on the Optus network. At this stage we have no ETR, however our technicians are working hard to get this fixed as soon as possible - Aman",2022-07-17,"0","https://www.instagram.com/p/CfvICzII6MM/"
"deepanamjoshi","Appalling service by Optus. We are in WA. Been with Optus for over 13 years. Business mobile had an issue with the SIM card. Got a new sim but Optus has not activated it for almost 5 business days. So we are unable to reach our patients and confirm appointments. We had the same issue when we switched to NBN. Same issue with emails in the past that we had to dump Optus email and switch to google. Is this how you treat a loyal customer which is a small business. It's pathetic. Hopefully @optus responds in some way.",2022-07-15,"0","https://www.instagram.com/p/CfvICzII6MM/"
"optus","@deepanamjoshi  Hi there, disappointing to hear about your experience with us so far. This is not what we want for our Business Customers. Rest assured, I have marked this as feedback for review. Please send us a message on Twitter or Facebook and we can give you a hand there - Jim",2022-07-15,"0","https://www.instagram.com/p/CfvICzII6MM/"
"mitch_berrigan","@optus fix your service. U literally have one job. And don't say message via Twitter or Facebook, no one actually wants to do that.Show some initiative and Just don't charge effected areas for the month when you are aware their service sucked. Individual customers shouldn't have to keep wasting their time contacting you.",2022-07-11,"0","https://www.instagram.com/p/CfvICzII6MM/"
"mo_the_goatee_","Unblock me Optus sport it's been like over 6 months all I said was deadwood",2022-07-08,"0","https://www.instagram.com/p/CfvICzII6MM/"
"mo_the_goatee_","Can Optus sport unban me please",2022-07-08,"0","https://www.instagram.com/p/CfnBXeHNtxC/"
"justmatt_45","@optus I don't know what you guys are doing but I've not received any scam txt's in a little over a week so thank you for that, any suggestions on how to stop scam calls coming through?, I get those at least twice per day.",2022-07-07,"0","https://www.instagram.com/p/CfnBXeHNtxC/"
"optus","@stoic_eyez Hi there, thanks for reaching out. It's not good to hear you are receiving a lot of scam calls.We have a helpful guide that may assist you here â†’ https://bit.ly/3ORDXIY If you still need a hand, please reach out to us on Facebook or Twitter -Talia",2022-07-07,"0","https://www.instagram.com/p/CfnBXeHNtxC/"
"that_parisa_tingle","Dear Optus, I hate you. Xoxox",2022-07-06,"2","https://www.instagram.com/p/CfnBXeHNtxC/"
"that_parisa_tingle","@optus look at this",2022-07-17,"0","https://www.instagram.com/p/CfnBXeHNtxC/"
"ptrckcspm","Optus customer service at their best. clap clap",2022-07-23,"0","https://www.instagram.com/p/CfnBXeHNtxC/"
"haralambos58","Hi optus can you guys contact me re your almost below average service?",2022-07-06,"1","https://www.instagram.com/p/CfnBXeHNtxC/"
"pire_ya0509","Hi, we had contacted you few minutes ago for a potential partnership. Please check your DMs. Thank you!",2022-08-09,"1","https://www.instagram.com/p/CflM5gBrNqo/"
"vanessa.flair.karson.p1kj","Hey, we had contacted you few minutes ago for a potential partnership. Please check your messages. Thank you!",2022-08-06,"0","https://www.instagram.com/p/Cfk0glxIngZ/"
"dbush65","Great partnership but perhaps get the basics right like not cutting customers off until the requested date",2022-06-28,"0","https://www.instagram.com/p/CfLRdZttoMx/"
"erichuangmelbourne","Please help me to solve the problem i was keeping contact Optus but very hard to talk to everyone. Cost me so much time to deal withâ€¦.",2022-06-27,"0","https://www.instagram.com/p/CfLRdZttoMx/"
"erichuangmelbourne","My email is erichuang1210@gmail.com",2022-06-27,"1","https://www.instagram.com/p/CfLRdZttoMx/"
"russel_sproutz","Love this",2022-06-24,"1","https://www.instagram.com/p/CfLRdZttoMx/"
"erichuangmelbourne","Please help me to solve the problem i was keeping contact Optus but very hard to talk to everyone. Cost me so much time to deal withâ€¦.",2022-06-27,"0","https://www.instagram.com/p/Ce-ywaIl2c2/"
"chazmozzie","Thanks team D_fireD_fireD_fireD_fire",2022-06-20,"0","https://www.instagram.com/p/Ce-ywaIl2c2/"
"grantdaniellewis","@optus your staff called 36 hours ago and rectified the $26 â€œoverchargeâ€ fee. Yet i am still receiving text messages saying the service will be terminated if do not pay this fee within 7 days. Every single month your company does this. Sort this out immediately - Private message and resolve ASAP!",2022-06-23,"1","https://www.instagram.com/p/Ce2N2-cPQS6/"
"elliecoleswim","Stunning!! A_loveeyes",2022-06-16,"0","https://www.instagram.com/p/Ce2N2-cPQS6/"
"ssamanthaprasad","@prasadamanda",2022-09-16,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"nbh.dr",".mmk.",2022-07-05,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"nbh.dr","M.",2022-07-05,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"nbh.dr","A_loveeyes®m",2022-07-05,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"techimalcase","F_redheartF_redheart @danielricciardo",2022-06-14,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"pinimen","Belong F_redheartF_redheartF_redheart",2022-06-13,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"marcus.hudson_","@lachlan_carter_",2022-06-11,"1","https://www.instagram.com/p/CenzUBsIjrZ/"
"lachlan_carter_","@marcus.hudson_ podium this weekend?",2022-06-11,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"kateyrogers","crying @missbeeza @_nikitashannon",2022-06-11,"1","https://www.instagram.com/p/CenzUBsIjrZ/"
"lucyellabrooks__","@alexhead1",2022-06-11,"1","https://www.instagram.com/p/CenzUBsIjrZ/"
"lewisb1_","liked by pierre gasly",2022-06-11,"11","https://www.instagram.com/p/CenzUBsIjrZ/"
"shanae.bodin","F_redheart",2022-06-11,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"6dash9","looks like a footlong from a subway, les Go DR",2022-06-11,"0","https://www.instagram.com/p/CenzUBsIjrZ/"
"ariscaith","Never darker than just before dawn @danielricciardo - great things are just around the next bend ðŸ§¡",2022-06-11,"3","https://www.instagram.com/p/CenzUBsIjrZ/"
"danielricciardo","Mad love ðŸ¥°",2022-06-11,"233","https://www.instagram.com/p/CenzUBsIjrZ/"
"georyia","ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡ðŸ§¡",2022-06-11,"1","https://www.instagram.com/p/CenzUBsIjrZ/"
"optusstadium","D_tdðŸ§¡",2022-06-10,"3","https://www.instagram.com/p/CenzUBsIjrZ/"
"telstra","honestly name a more iconic wallpaper A_loveeyes©",2023-08-09,"5","https://www.instagram.com/p/CvtmTo9pClB/"
"tadnashgunz","I laughed so hard at this ðŸ¤£ðŸ¤£ðŸ¤£ especially limewire lol",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@tadnashgunz  Bring back turtle-cursors! ðŸ¢",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"perhapsimacow","telstra admin what cursor did you use?",2023-08-09,"2","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@perhapsimacow pizza cursor goes hard but also might look at froggy for my next one D_fire",2023-08-09,"3","https://www.instagram.com/p/CvtmTo9pClB/"
"perhapsimacow","@telstra froggy dope D_fire",2023-08-09,"1","https://www.instagram.com/p/CvtmTo9pClB/"
"juzxtaposition","Minesweeper is the bomb ðŸ’£",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@juzxtaposition  Agreed!D_tdðŸ¤©",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"shonababona_","Yes, oh the nostalgia!!!",2023-08-12,"2","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@shonababona_  Snap! A_loveeyes‚",2023-08-12,"1","https://www.instagram.com/p/CvtmTo9pClB/"
"shaneosaurusrex","This is a powerful self own",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"sal_fontaine","Yeah and then my parents got a  500 dollar bill from you guys when I was 8 because I was downloading family guy episodes from limewire",2023-08-11,"9","https://www.instagram.com/p/CvtmTo9pClB/"
"jaymal_97","I thoroughly enjoyed minesweeper",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"t_j_daniel","You must be from the marketing team not the engineering team",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@t_j_daniel  Heya, how is your evening? Was there anything I can help you out with this evening? - Jo",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"paula_kwena","I did. But in essy mode",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@paula_kwena  Better than most! A_loveeyes†",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"carlton343","1,2,1â€¦ 1,2,2,1 A_loveeyes‚",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@carlton343  Talk about a flashback! ðŸ™ƒ",2023-08-12,"1","https://www.instagram.com/p/CvtmTo9pClB/"
"carlton343","@telstra actually I didn't understand the game as a kid. Just downloaded it a couple of years ago and got hooked again A_loveeyes‚",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
"telstra","@carlton343 A stressful yet addictive game! A_loveeyes‚",2023-08-12,"0","https://www.instagram.com/p/CvtmTo9pClB/"
